5,805
10,2575
20,8972
50,9648
5,999
10,3298
20,7946
50,12756
5,908
10,3107
20,6296
50,10642
5,1002
10,3228
20,6649
50,10784
5,977
10,3439
20,7126
50,10221
5,853
10,3108
20,6887
50,11537
5,639
10,2891
20,8866
50,10925
5,765
10,2802
20,7808
50,15118
5,924
10,3292
20,8592
50,14919
5,658
10,3348
20,8439
50,9357
